NAME,VERSION,REPO,HOMEPAGE,DESCRIPTION
gst-plugins-ugly,1.20.3-1,main,,"A set of plug-ins considered by the GStreamer developers to have good quality and correct functionality, but distributing them might pose problems"
gstreamer,1.20.3-1,main,,"Streaming media framework that enables applications to share a common set of plugins"
gstreamer-32,1.20.3-1,multilib,,"Streaming media framework that enables applications to share a common set of plugins"
gtk2,2.24.33-1,main,,"GObject-based multi-platform GUI toolkit (legacy)"
gtk3,3.24.34-1,main,,"Libraries used for creating graphical user interfaces for applications"
gtk4,4.7.1-1,main,https://www.gtk.org/,"A multi-platform toolkit for creating graphical user interfaces, version 4"
gtk-doc,1.33.2-1,main,,"Documentation tool for public library API"
gtk-engine-murrine,0.98.2-1,main,,"GTK2 engine to make your desktop look like a 'murrina', an italian word meaning the art glass works done by Venicians glass blowers"
gtk-engines,2.20.2-1,main,,"Contains eight themes/engines and two additional engines for GTK2"
gtkmm2,2.24.5-1,main,,"C++ interface to GTK+ 2"
gtkmm3,3.24.2-1,main,,"C++ interface to GTK+ 3"
gtksourceview3,3.24.11-1,main,,"Libraries used for extending the GTK+ text functions to include syntax highlighting"
gtksourceview4,4.8.3-1,main,https://wiki.gnome.org/Projects/GtkSourceView,"A text widget adding syntax highlighting and more to GNOME"
guile,2.2.7-1,main,,"GNU Project's extension language library"
gvfs,1.50.2-1,main,,"Userspace virtual filesystem designed to work with the I/O abstractions of GLib's GIO library"
gvfs-mtp,1.50.2-1,main,,"Userspace virtual filesystem designed to work with the I/O abstractions of GLib's GIO library"
gvfs-nfs,1.50.2-1,main,,"Userspace virtual filesystem designed to work with the I/O abstractions of GLib's GIO library"
gvfs-smb,1.50.2-1,main,,"Userspace virtual filesystem designed to work with the I/O abstractions of GLib's GIO library"
gzip,1.12-1,main,,"Programs for compressing and decompressing files"
handbrake,1.5.1-1,main,,"Multithreaded video transcoder"
harfbuzz-32,5.1.0-1,multilib,,"OpenType text shaping engine"
harfbuzz,5.1.0-1,main,,"OpenType text shaping engine"
harfbuzz-icu,5.1.0-1,main,,"OpenType text shaping engine (ICU integration)"
hdparm,9.64-1,main,,"Utility for controlling ATA/IDE controllers and hard drives"
help2man,1.49.2-1,main,,"Conversion tool to create man files"
herbe,1.0.0-1,main,https://github.com/dudik/herbe,"Daemon-less notifications without D-Bus. Minimal and lightweight."
herbstluftwm,0.9.5-1,main,,"Manual tiling window manager for X"
hexchat,2.16.1-1,main,,"IRC chat program"
